ticker,observed_fiscal_quarter,target_fiscal_quarter
MSFT,FY2022_Q2,FY2022_Q3
MSFT,FY2022_Q3,FY2022_Q4
MSFT,FY2022_Q4,FY2023_Q1
MSFT,FY2023_Q1,FY2023_Q2
MSFT,FY2023_Q2,FY2023_Q3
MSFT,FY2023_Q3,FY2023_Q4
MSFT,FY2023_Q4,FY2024_Q1
MSFT,FY2024_Q1,FY2024_Q2
MSFT,FY2024_Q2,FY2024_Q3
MSFT,FY2024_Q3,FY2024_Q4
MSFT,FY2024_Q4,FY2025_Q1
MSFT,FY2025_Q1,FY2025_Q2
MSFT,FY2025_Q2,FY2025_Q3
MSFT,FY2025_Q3,FY2025_Q4
MU,FY2018_Q4,FY2019_Q1
MU,FY2019_Q1,FY2019_Q2
MU,FY2019_Q2,FY2019_Q3
MU,FY2019_Q3,FY2019_Q4
MU,FY2019_Q4,FY2020_Q1
MU,FY2020_Q1,FY2020_Q2
MU,FY2020_Q2,FY2020_Q3
MU,FY2020_Q3,FY2020_Q4
MU,FY2020_Q4,FY2021_Q1
MU,FY2021_Q1,FY2021_Q2
MU,FY2021_Q2,FY2021_Q3
MU,FY2021_Q3,FY2021_Q4
MU,FY2021_Q4,FY2022_Q1
MU,FY2022_Q1,FY2022_Q2
MU,FY2022_Q2,FY2022_Q3
MU,FY2022_Q3,FY2022_Q4
MU,FY2022_Q4,FY2023_Q1
MU,FY2023_Q1,FY2023_Q2
MU,FY2023_Q2,FY2023_Q3
MU,FY2023_Q3,FY2023_Q4
MU,FY2023_Q4,FY2024_Q1
MU,FY2024_Q1,FY2024_Q2
MU,FY2024_Q2,FY2024_Q3
MU,FY2024_Q3,FY2024_Q4
MU,FY2024_Q4,FY2025_Q1
MU,FY2025_Q1,FY2025_Q2
MU,FY2025_Q2,FY2025_Q3
MU,FY2025_Q3,FY2025_Q4
TSLA,FY2018_Q4,FY2019_Q1
TSLA,FY2019_Q1,FY2019_Q2
TSLA,FY2019_Q2,FY2019_Q3
TSLA,FY2019_Q3,FY2019_Q4
TSLA,FY2019_Q4,FY2020_Q1
TSLA,FY2020_Q1,FY2020_Q2
TSLA,FY2020_Q2,FY2020_Q3
TSLA,FY2020_Q3,FY2020_Q4
TSLA,FY2020_Q4,FY2021_Q1
TSLA,FY2021_Q1,FY2021_Q2
TSLA,FY2021_Q2,FY2021_Q3
TSLA,FY2021_Q3,FY2021_Q4
TSLA,FY2021_Q4,FY2022_Q1
TSLA,FY2022_Q1,FY2022_Q2
TSLA,FY2022_Q2,FY2022_Q3
TSLA,FY2022_Q3,FY2022_Q4
TSLA,FY2022_Q4,FY2023_Q1
TSLA,FY2023_Q1,FY2023_Q2
TSLA,FY2023_Q2,FY2023_Q3
TSLA,FY2023_Q3,FY2023_Q4
TSLA,FY2023_Q4,FY2024_Q1
TSLA,FY2024_Q1,FY2024_Q2
TSLA,FY2024_Q2,FY2024_Q3
TSLA,FY2024_Q3,FY2024_Q4
TSLA,FY2024_Q4,FY2025_Q1
TSLA,FY2025_Q1,FY2025_Q2
TSLA,FY2025_Q2,FY2025_Q3
TSLA,FY2025_Q3,FY2025_Q4
ORCL,FY2018_Q4,FY2019_Q1
ORCL,FY2019_Q1,FY2019_Q2
ORCL,FY2019_Q2,FY2019_Q3
ORCL,FY2019_Q3,FY2019_Q4
ORCL,FY2019_Q4,FY2020_Q1
ORCL,FY2020_Q1,FY2020_Q2
ORCL,FY2020_Q2,FY2020_Q3
ORCL,FY2020_Q3,FY2020_Q4
ORCL,FY2020_Q4,FY2021_Q1
ORCL,FY2021_Q1,FY2021_Q2
ORCL,FY2021_Q2,FY2021_Q3
ORCL,FY2021_Q3,FY2021_Q4
ORCL,FY2021_Q4,FY2022_Q1
ORCL,FY2022_Q1,FY2022_Q2
ORCL,FY2022_Q2,FY2022_Q3
ORCL,FY2022_Q3,FY2022_Q4
ORCL,FY2022_Q4,FY2023_Q1
ORCL,FY2023_Q1,FY2023_Q2
ORCL,FY2023_Q2,FY2023_Q3
ORCL,FY2023_Q3,FY2023_Q4
ORCL,FY2023_Q4,FY2024_Q1
ORCL,FY2024_Q1,FY2024_Q2
ORCL,FY2024_Q2,FY2024_Q3
ORCL,FY2024_Q3,FY2024_Q4
ORCL,FY2024_Q4,FY2025_Q1
ORCL,FY2025_Q1,FY2025_Q2
ORCL,FY2025_Q2,FY2025_Q3
ORCL,FY2025_Q3,FY2025_Q4
